iter	MultiClass
0	1.42073229
1	1.288153109
2	1.181869303
3	1.0987031
4	1.028544161
5	0.9693667225
6	0.9209051324
7	0.8792983825
8	0.8410045768
9	0.8107008173
10	0.7817023181
11	0.7569765451
12	0.73396895
13	0.71358149
14	0.695082893
15	0.6795664439
16	0.6653767777
17	0.6516669837
18	0.6405558497
19	0.6307148054
20	0.620501073
21	0.611471469
22	0.6035984756
23	0.5945980048
24	0.5876721952
25	0.5814363511
26	0.5761803672
27	0.5705711872
28	0.5653833641
29	0.5611999602
30	0.5573281615
31	0.5534970985
32	0.5498149681
33	0.5464798864
34	0.5428798305
35	0.5392621983
36	0.5354180063
37	0.5332519923
38	0.5310745178
39	0.5283135299
40	0.5253790401
41	0.5234309335
42	0.5214932577
43	0.5197612235
44	0.518054823
45	0.5165880344
46	0.5153117588
47	0.5127626465
48	0.5116083463
49	0.5103094608
50	0.5096050375
51	0.5087924869
52	0.5077321596
53	0.5067570226
54	0.5051339186
55	0.5039863295
56	0.5030055314
57	0.5023275187
58	0.5007936239
59	0.4995104117
60	0.4987866395
61	0.498000653
62	0.4968381121
63	0.4961732817
64	0.4955044006
65	0.494766445
66	0.494349339
67	0.4930412441
68	0.4927143857
69	0.4919242708
70	0.491439842
71	0.4907852809
72	0.489635262
73	0.4888425319
74	0.4883665334
75	0.4877284543
76	0.486981703
77	0.4863091661
78	0.4850837845
79	0.4842684855
80	0.4837939255
81	0.483128506
82	0.4828196375
83	0.4822685941
84	0.481548965
85	0.481097983
86	0.4804045038
87	0.4799930711
88	0.4791532812
89	0.4785109113
90	0.4778784745
91	0.4774918498
92	0.4770423216
93	0.4765300621
94	0.4757777924
95	0.4750600555
96	0.4744593871
97	0.4737896653
98	0.4732999957
99	0.4726703213
100	0.4722023857
101	0.4715087665
102	0.4710793956
103	0.4705671586
104	0.4700631702
105	0.4695213642
106	0.468926425
107	0.4686405269
108	0.4680546974
109	0.4673547608
110	0.466890907
111	0.4664659144
112	0.4661272715
113	0.4657260422
114	0.4654815894
115	0.46522266
116	0.4650687113
117	0.4645772674
118	0.4641743417
119	0.4636315284
120	0.4631108922
121	0.4624472071
122	0.4619207366
123	0.4614614259
124	0.4610572592
125	0.4607042669
126	0.4601918327
127	0.4598232788
128	0.4594593088
129	0.4589591548
130	0.4581269669
131	0.4574863869
132	0.4568930069
133	0.4563817435
134	0.456007248
135	0.4556524346
136	0.4553579398
137	0.4549899955
138	0.4545785467
139	0.4541896638
140	0.453943555
141	0.4535299897
142	0.4531128465
143	0.4525575419
144	0.452233552
145	0.4518048911
146	0.4514061739
147	0.45093741
148	0.4504691234
149	0.450059104
150	0.4498162701
151	0.4492883093
152	0.4487672831
153	0.4482479597
154	0.4477325512
155	0.4474123675
156	0.4471393589
157	0.4469545118
158	0.446433026
159	0.4457459789
160	0.4454506168
161	0.4450388487
162	0.4445758592
163	0.444269129
164	0.4438195456
165	0.4432100596
166	0.4429697542
167	0.4425068595
168	0.4423735232
169	0.4420391071
170	0.4417927781
171	0.4411444535
172	0.4404668761
173	0.4399886238
174	0.4395501246
175	0.4389590438
176	0.4384791721
177	0.4383436342
178	0.4380165231
179	0.4376391118
180	0.4373305107
181	0.4370594967
182	0.4365692268
183	0.436053883
184	0.4356493607
185	0.4351484095
186	0.4347376121
187	0.434375846
188	0.4341272364
189	0.433761571
190	0.4335191358
191	0.4330733889
192	0.4325627512
193	0.4321321828
194	0.43162786
195	0.4312079421
196	0.4308833998
197	0.4304865352
198	0.4302069369
199	0.4299078339
200	0.4297320019
201	0.429397752
202	0.4291354915
203	0.4288993659
204	0.42865033
205	0.4283570943
206	0.4279758966
207	0.4274891061
208	0.4271594295
209	0.4269060773
210	0.4266152336
211	0.4263444036
212	0.4258560475
213	0.4252785416
214	0.4250249031
215	0.4247782655
216	0.424539071
217	0.4242738524
218	0.4240969346
219	0.4238195394
220	0.4235978645
221	0.4232804995
222	0.4229445981
223	0.4225847639
224	0.4222600549
225	0.4219907126
226	0.4216457842
227	0.4213905891
228	0.4211396722
229	0.4209530005
230	0.4206122733
231	0.420367548
232	0.4201279393
233	0.4197512195
234	0.4193681565
235	0.4188957045
236	0.4187091934
237	0.41845261
238	0.4182185612
239	0.4179782704
240	0.4176798353
241	0.4174117429
242	0.4171855929
243	0.416979173
244	0.4167457657
245	0.4166378362
246	0.4164513155
247	0.4160863603
248	0.4158492988
249	0.4154153355
250	0.4149841064
251	0.414530301
252	0.4141992102
253	0.4140701193
254	0.4138505459
255	0.4135851447
256	0.4133502196
257	0.4128517362
258	0.4126465422
259	0.4124106287
260	0.4122274936
261	0.411872095
262	0.4116388336
263	0.4113685665
264	0.4110122278
265	0.4105990002
266	0.4103380657
267	0.4099949953
268	0.4098008698
269	0.4093132546
270	0.4091170487
271	0.4088622018
272	0.4085753284
273	0.4082122054
274	0.4079449689
275	0.4077392246
276	0.4074969581
277	0.407299958
278	0.4069896427
279	0.4066923546
280	0.4065442209
281	0.4064023672
282	0.4062163748
283	0.4058802031
284	0.4055749831
285	0.4054014433
286	0.4051860925
287	0.4048844798
288	0.4046712704
289	0.4045347069
290	0.4043344232
291	0.4041064392
292	0.4037734312
293	0.4034106984
294	0.4030162644
295	0.402884712
296	0.4026730921
297	0.4023623683
298	0.4019249026
299	0.40177637
300	0.4014866969
301	0.4012946037
302	0.4010483849
303	0.4008676814
304	0.4006639198
305	0.4002671742
306	0.3998978317
307	0.3994812359
308	0.3993508876
309	0.3990109333
310	0.3987990186
311	0.3985414797
312	0.3983636284
313	0.3979902456
314	0.3977543245
315	0.3975330425
316	0.397342455
317	0.3969936209
318	0.3967859137
319	0.3965038402
320	0.3962826242
321	0.3960582238
322	0.395813722
323	0.3954094591
324	0.3951925358
325	0.3949818313
326	0.3947377393
327	0.3945673285
328	0.3942748082
329	0.3940537089
330	0.3938978547
331	0.3935422113
332	0.3932531983
333	0.3927551078
334	0.3926343866
335	0.3924817862
336	0.3921879161
337	0.3918299346
338	0.3916220591
339	0.3913870941
340	0.3912376038
341	0.3910557872
342	0.3908341169
343	0.3906282188
344	0.3904011557
345	0.3902148496
346	0.3898970962
347	0.3897872101
348	0.3895181851
349	0.3892520643
350	0.389020921
351	0.3888230153
352	0.3886148234
353	0.3883844327
354	0.3882148627
355	0.3878951529
356	0.3876898419
357	0.3874018837
358	0.3871341288
359	0.3868729036
360	0.3866784883
361	0.3864885115
362	0.3861377394
363	0.3858696903
364	0.3855427838
365	0.385351874
366	0.3850278794
367	0.3847792618
368	0.3845793069
369	0.3844067233
370	0.384226779
371	0.384111376
372	0.3838851391
373	0.3837155978
374	0.3835724292
375	0.3833420836
376	0.383179805
377	0.3829494264
378	0.3827756783
379	0.3825885084
380	0.3822185249
381	0.3819961406
382	0.3817358588
383	0.3815003371
384	0.3813401262
385	0.3810844434
386	0.3808844458
387	0.3807008284
388	0.3804083751
389	0.3800393536
390	0.3798436992
391	0.3795411825
392	0.3793025286
393	0.3790616026
394	0.3787750494
395	0.3785776318
396	0.3783382419
397	0.3780757469
398	0.3778230613
399	0.3776125969
400	0.3774374575
401	0.377282878
402	0.3772463328
403	0.3770237983
404	0.3766859556
405	0.3765301643
406	0.3761478795
407	0.3760119703
408	0.3759329489
409	0.3755013524
410	0.3753152319
411	0.3750572533
412	0.3748796547
413	0.3747025154
414	0.3745190917
415	0.3744053965
416	0.3743456702
417	0.3741490317
418	0.3739929053
419	0.3737802549
420	0.3736151426
421	0.3733213137
422	0.3730807155
423	0.3727983976
424	0.3726240073
425	0.3725265684
426	0.3722195644
427	0.3720620282
428	0.3719086236
429	0.371698628
430	0.3714800735
431	0.3713485165
432	0.37113006
433	0.3709609396
434	0.370767484
435	0.3704875953
436	0.3703779379
437	0.3702094364
438	0.3699417352
439	0.369731589
440	0.3694259362
441	0.3692471101
442	0.3690152536
443	0.3688189153
444	0.3685200554
445	0.3683772498
446	0.3682175539
447	0.3680471825
448	0.3678900231
449	0.3675877104
450	0.3673959368
451	0.3671961021
452	0.3670776808
453	0.3669270936
454	0.3666983756
455	0.3664158052
456	0.3660974504
457	0.3658888924
458	0.3655932681
459	0.3653576293
460	0.3650504089
461	0.3648089156
462	0.3645395027
463	0.364359765
464	0.3642056822
465	0.3640168241
466	0.36381355
467	0.3636636358
468	0.3634828583
469	0.363317138
470	0.3630407839
471	0.3627579904
472	0.3625764572
473	0.3624216561
474	0.3622240539
475	0.3621172355
476	0.3619592519
477	0.3616973788
478	0.36157625
479	0.3613877046
480	0.3611647472
481	0.3609526646
482	0.3607415943
483	0.3606073074
484	0.3604956981
485	0.3602233815
486	0.3600977021
487	0.3598035145
488	0.3596017174
