iter	Passed	Remaining
0	19	19131
1	31	15884
2	44	14747
3	56	14053
4	67	13511
5	79	13140
6	90	12867
7	102	12722
8	114	12650
9	126	12518
10	137	12388
11	149	12282
12	161	12239
13	173	12196
14	184	12106
15	200	12323
16	213	12331
17	225	12299
18	237	12247
19	249	12219
20	261	12199
21	273	12153
22	284	12105
23	296	12053
24	308	12017
25	319	11980
26	331	11953
27	343	11913
28	355	11904
29	367	11874
30	379	11876
31	393	11893
32	405	11882
33	417	11859
34	430	11863
35	441	11834
36	453	11812
37	465	11775
38	476	11740
39	487	11708
40	499	11687
41	511	11668
42	523	11646
43	534	11620
44	545	11586
45	563	11696
46	577	11707
47	589	11698
48	601	11670
49	612	11643
50	626	11659
51	638	11635
52	650	11614
53	661	11588
54	672	11561
55	684	11544
56	697	11541
57	708	11511
58	720	11498
59	732	11476
60	745	11476
61	762	11539
62	775	11529
63	788	11527
64	801	11533
65	813	11516
66	827	11518
67	839	11505
68	851	11491
69	864	11480
70	875	11452
71	890	11474
72	902	11459
73	914	11444
74	930	11473
75	943	11468
76	955	11455
77	968	11453
78	981	11441
79	993	11429
80	1005	11410
81	1017	11388
82	1028	11362
83	1039	11336
84	1051	11315
85	1062	11293
86	1075	11283
87	1086	11256
88	1097	11233
89	1109	11220
90	1124	11234
91	1135	11210
92	1147	11195
93	1159	11178
94	1171	11162
95	1183	11147
96	1196	11135
97	1207	11115
98	1219	11100
99	1231	11081
100	1243	11067
101	1255	11057
102	1267	11041
103	1279	11025
104	1292	11017
105	1306	11015
106	1319	11010
107	1330	10989
108	1342	10975
109	1354	10961
110	1366	10945
111	1378	10929
112	1390	10911
113	1401	10893
114	1412	10873
115	1424	10857
116	1436	10839
117	1448	10826
118	1460	10810
119	1476	10828
120	1489	10819
121	1502	10812
122	1517	10820
123	1529	10803
124	1544	10809
125	1556	10799
126	1569	10786
127	1581	10773
128	1593	10757
129	1604	10739
130	1616	10723
131	1628	10708
132	1640	10691
133	1652	10680
134	1663	10661
135	1678	10665
136	1691	10657
137	1703	10640
138	1717	10639
139	1731	10635
140	1744	10628
141	1756	10611
142	1768	10596
143	1781	10587
144	1793	10573
145	1805	10558
146	1816	10543
147	1830	10538
148	1845	10542
149	1858	10528
150	1869	10513
151	1881	10499
152	1894	10489
153	1907	10476
154	1919	10464
155	1931	10449
156	1943	10435
157	1955	10418
158	1968	10409
159	1979	10394
160	1992	10384
161	2005	10374
162	2020	10373
163	2033	10365
164	2045	10350
165	2057	10337
166	2070	10328
167	2083	10316
168	2094	10298
169	2107	10287
170	2120	10277
171	2132	10267
172	2144	10253
173	2156	10239
174	2168	10225
175	2181	10213
176	2194	10204
177	2212	10219
178	2226	10210
179	2238	10199
180	2252	10192
181	2265	10183
182	2279	10176
183	2291	10163
184	2303	10148
185	2316	10138
186	2329	10127
187	2345	10129
188	2357	10116
189	2369	10101
190	2386	10106
191	2398	10095
192	2412	10086
193	2425	10075
194	2437	10062
195	2450	10052
196	2463	10042
197	2475	10028
198	2488	10016
199	2501	10007
200	2514	9996
201	2528	9987
202	2543	9985
203	2556	9975
204	2570	9969
205	2583	9958
206	2595	9944
207	2609	9937
208	2621	9920
209	2632	9904
210	2652	9919
211	2665	9908
212	2678	9895
213	2690	9881
214	2702	9866
215	2718	9865
216	2733	9861
217	2748	9859
218	2762	9850
219	2774	9838
220	2786	9823
221	2798	9806
222	2810	9794
223	2822	9777
224	2833	9761
225	2845	9743
226	2857	9729
227	2869	9714
228	2880	9699
229	2891	9681
230	2903	9664
231	2914	9648
232	2927	9636
233	2940	9625
234	2951	9607
235	2963	9592
236	2974	9577
237	2986	9562
238	2998	9545
239	3009	9530
240	3021	9514
241	3032	9499
242	3044	9483
243	3056	9469
244	3067	9454
245	3079	9437
246	3090	9421
247	3102	9406
248	3115	9397
249	3128	9386
250	3140	9372
251	3152	9358
252	3164	9343
253	3175	9326
254	3186	9310
255	3198	9295
256	3210	9281
257	3221	9266
258	3233	9251
259	3244	9234
260	3256	9219
261	3268	9205
262	3279	9189
263	3293	9181
264	3305	9168
265	3317	9154
266	3329	9139
267	3340	9124
268	3351	9107
269	3364	9096
270	3375	9081
271	3387	9066
272	3398	9050
273	3410	9036
274	3422	9022
275	3433	9007
276	3445	8992
277	3456	8977
278	3468	8964
279	3481	8952
280	3493	8938
281	3505	8924
282	3517	8912
283	3529	8898
284	3541	8885
285	3552	8869
286	3564	8854
287	3575	8840
288	3587	8826
289	3599	8812
290	3610	8796
291	3621	8781
292	3633	8767
293	3645	8753
294	3657	8741
295	3670	8729
296	3687	8727
297	3700	8716
298	3712	8704
299	3724	8690
300	3736	8676
301	3747	8660
302	3758	8645
303	3769	8629
304	3780	8615
305	3792	8601
306	3804	8586
307	3816	8574
308	3827	8559
309	3841	8550
310	3857	8545
311	3871	8536
312	3884	8525
313	3895	8511
314	3908	8498
315	3920	8485
316	3932	8472
317	3943	8458
318	3955	8443
319	3967	8430
320	3978	8416
321	3990	8403
322	4002	8388
323	4016	8380
324	4029	8367
325	4042	8357
326	4054	8345
327	4066	8331
328	4078	8317
329	4090	8305
330	4103	8292
331	4115	8280
332	4127	8267
333	4138	8252
334	4151	8241
335	4163	8227
336	4175	8214
337	4187	8200
338	4199	8188
339	4213	8179
340	4225	8165
341	4237	8152
342	4249	8139
343	4260	8124
344	4272	8111
345	4283	8096
346	4295	8083
347	4307	8071
348	4319	8057
349	4331	8044
350	4344	8032
351	4355	8018
352	4367	8004
353	4379	7992
354	4391	7979
355	4403	7965
356	4414	7951
357	4426	7937
358	4437	7923
359	4449	7909
360	4460	7895
361	4473	7883
362	4484	7869
363	4495	7855
364	4508	7842
365	4519	7828
366	4530	7814
367	4542	7801
368	4553	7786
369	4570	7782
370	4582	7768
371	4593	7755
372	4605	7741
373	4616	7727
374	4628	7714
375	4641	7702
376	4654	7691
377	4670	7684
378	4681	7671
379	4694	7659
380	4706	7646
381	4718	7634
382	4730	7620
383	4744	7611
384	4757	7599
385	4769	7587
386	4782	7574
387	4793	7560
388	4805	7547
389	4816	7533
390	4828	7520
391	4840	7507
392	4851	7493
393	4862	7479
394	4874	7465
395	4885	7452
396	4897	7438
397	4909	7425
398	4921	7413
399	4934	7401
400	4946	7389
401	4958	7376
402	4970	7362
403	4982	7349
404	4993	7336
405	5005	7323
406	5017	7310
407	5029	7297
408	5041	7285
409	5053	7272
410	5065	7259
411	5076	7245
412	5088	7231
413	5099	7218
414	5115	7211
415	5128	7199
416	5140	7186
417	5153	7175
418	5165	7162
419	5177	7149
420	5189	7137
421	5203	7126
422	5214	7112
423	5226	7099
424	5238	7086
425	5249	7072
426	5261	7059
427	5274	7048
428	5287	7037
429	5299	7025
430	5314	7015
431	5326	7003
432	5338	6990
433	5350	6977
434	5361	6964
435	5374	6952
436	5385	6938
437	5397	6925
438	5408	6911
439	5420	6899
440	5433	6886
