iter	MultiClass
0	1.13447863
1	0.9527104345
2	0.8660554623
3	0.8105523504
4	0.7854485178
5	0.7600646585
6	0.749469049
7	0.7322306166
8	0.7213100053
9	0.71782234
10	0.7127262942
11	0.7051394702
12	0.696251482
13	0.6923114913
14	0.6869755652
15	0.6834916927
16	0.6790558989
17	0.670436257
18	0.66287987
19	0.6593113884
20	0.6499684266
21	0.6439201854
22	0.6422002905
23	0.6354626369
24	0.6310189392
25	0.624129695
26	0.6203029606
27	0.6176128472
28	0.6070195396
29	0.6010229832
30	0.5936452701
31	0.589588639
32	0.585672569
33	0.5816999343
34	0.5781084107
35	0.5744788838
36	0.5705150586
37	0.5670400484
38	0.5637618702
39	0.5619637375
40	0.555156405
41	0.5522799745
42	0.5480297833
43	0.5446619844
44	0.5386733381
45	0.5328128878
46	0.52724818
47	0.5197070852
48	0.5182589105
49	0.5115458321
50	0.5070928754
51	0.5056546827
52	0.5002761388
53	0.4977527589
54	0.4954941154
55	0.4919968227
56	0.4863493532
57	0.4828147123
58	0.4785934481
59	0.4729460605
60	0.471482575
61	0.4684610674
62	0.4615697373
63	0.4578218748
64	0.4548453381
65	0.4482115881
66	0.4426001461
67	0.4393514782
68	0.4351992877
69	0.4321255848
70	0.4266305689
71	0.4243857336
72	0.4204319998
73	0.4177277034
74	0.4127537868
75	0.4086265152
76	0.4045138463
77	0.3995610229
78	0.3975649052
79	0.395188415
80	0.3932663775
81	0.390085509
82	0.3865048691
83	0.3836666123
84	0.3802782974
85	0.3765492257
86	0.3744589315
87	0.3725778854
88	0.3703818236
89	0.3682892398
90	0.3648444169
91	0.3607461462
92	0.3578858208
93	0.3552898723
94	0.3528536781
95	0.3510263908
96	0.3489361935
97	0.3469579194
98	0.3428616746
99	0.3402511144
100	0.3388995441
101	0.3375658311
102	0.3351305822
103	0.3322026495
104	0.3287714239
105	0.3268692488
106	0.3232596884
107	0.3201380131
108	0.318252961
109	0.3152897687
110	0.3125745039
111	0.3115215068
112	0.3089627215
113	0.3061033856
114	0.302824568
115	0.3009670647
116	0.2980884804
117	0.2967223668
118	0.2946371379
119	0.2906396424
120	0.2886232297
121	0.2865265933
122	0.2835673885
123	0.2808022255
124	0.2787050598
125	0.2765668866
126	0.2739522201
127	0.2724195582
128	0.2710452696
129	0.2699166014
130	0.2668295869
131	0.264327145
132	0.2613700556
133	0.2596339995
134	0.256699801
135	0.2549751843
136	0.2534686539
137	0.2512585503
138	0.2478809237
139	0.246702461
140	0.2450951464
141	0.2428796596
142	0.2411799116
143	0.2399112578
144	0.2384203288
145	0.2366090287
146	0.2357662118
147	0.2340976632
148	0.2325545789
149	0.2302835073
150	0.2275668753
151	0.2264823435
152	0.2238470721
153	0.2221364489
154	0.2205534913
155	0.2192138455
156	0.2167403588
157	0.2156484148
158	0.2136824849
159	0.2115525959
160	0.2092095486
161	0.2075996064
162	0.2063348699
163	0.2051572521
164	0.2035275585
165	0.2022068826
166	0.201540194
167	0.2011111396
168	0.2005021651
169	0.1997804943
170	0.1976854816
171	0.1969952779
172	0.1960757514
173	0.1947098681
174	0.1929480746
175	0.1913325417
176	0.1895531478
177	0.1890809546
178	0.1870525745
179	0.1855159123
180	0.1833505655
181	0.1817161867
182	0.1808215976
183	0.1800456072
184	0.1793486334
185	0.1781552613
186	0.1771737692
187	0.1762887449
188	0.1750811715
189	0.1746093586
190	0.173003428
191	0.1711885515
192	0.1702540563
193	0.1685943775
194	0.1678999936
195	0.1659203913
196	0.1653868675
197	0.1646182811
198	0.1631089942
199	0.1613835378
