iter	Logloss
0	0.6735889504
1	0.6464577613
2	0.6175555611
3	0.5844001525
4	0.5657414509
5	0.5379269921
6	0.5240013496
7	0.5148687013
8	0.5000156373
9	0.4929416707
10	0.4878434366
11	0.4811030501
12	0.4761097114
13	0.4709213851
14	0.4568373081
15	0.4520698389
16	0.4482252943
17	0.4455575148
18	0.4398218318
19	0.4362876101
20	0.4326399034
21	0.4264854533
22	0.4200313755
23	0.4174353471
24	0.415849369
25	0.412161471
26	0.404728115
27	0.4023632336
28	0.3970121638
29	0.3928743311
30	0.3885522152
31	0.3877641293
32	0.3871365185
33	0.385821995
34	0.3850433781
35	0.3836957747
36	0.383029075
37	0.3822438471
38	0.3816219621
39	0.3809910448
40	0.3801871274
41	0.3794318863
42	0.3788203787
43	0.3780788206
44	0.3774515023
45	0.3766690606
46	0.3763462483
47	0.3757608298
48	0.3752878567
49	0.3749097613
50	0.3744224528
51	0.3740016268
52	0.3728898917
53	0.3724543712
54	0.3712542079
55	0.3709314708
56	0.3705401589
57	0.3697663242
58	0.3692584215
59	0.3687024449
60	0.3684498483
61	0.3680129119
62	0.3676984898
63	0.3671051772
64	0.3663515256
65	0.3661198276
66	0.3658130669
67	0.3655296636
68	0.3650486793
69	0.3647640811
70	0.3643553079
71	0.3640940867
72	0.3639891741
73	0.3636948636
74	0.3632016255
75	0.362540583
76	0.3622615399
77	0.3618519432
78	0.3615955211
79	0.3603303883
80	0.3599844544
81	0.3598163297
82	0.3596038215
83	0.3594120203
84	0.3590615889
85	0.3587825791
86	0.358453091
87	0.3582539236
88	0.3578533413
89	0.3575321802
90	0.357277809
91	0.3570290561
92	0.3567268302
93	0.3564603592
94	0.3560318155
95	0.3557125054
96	0.3554192164
97	0.3551565904
98	0.3548366863
99	0.3546600148
100	0.3544019466
101	0.3539783181
102	0.3538026584
103	0.3534584656
104	0.3532265547
105	0.3529664502
106	0.3527834944
107	0.3524275061
108	0.3521976876
109	0.3519019719
110	0.3515547913
111	0.3512775638
112	0.3511291488
113	0.351001993
114	0.3507860022
115	0.3505828989
116	0.3502687201
117	0.3499314525
118	0.3497447
119	0.3495542428
120	0.3493300097
121	0.3491117517
122	0.3487828435
123	0.3484115684
124	0.3481823364
125	0.3480226569
126	0.3476731513
127	0.3473839516
128	0.3471177449
129	0.3469993545
130	0.3466967128
131	0.3464722581
132	0.3461249731
133	0.3458540797
134	0.3455825589
135	0.3453626217
136	0.3450554713
137	0.3448628416
138	0.3446578525
139	0.3444152896
140	0.3440695173
141	0.3437588139
142	0.3435602312
143	0.3433292403
144	0.3430186803
145	0.3428378975
146	0.342541141
147	0.3424125398
