iter	Passed	Remaining
0	20	20506
1	38	19217
2	57	19211
3	71	17710
4	87	17466
5	103	17221
6	116	16470
7	129	16047
8	139	15372
9	150	14865
10	160	14415
11	172	14205
12	182	13861
13	193	13620
14	203	13360
15	213	13130
16	223	12925
17	233	12750
18	248	12837
19	270	13263
20	281	13125
21	291	12976
22	303	12886
23	315	12838
24	326	12739
25	337	12624
26	347	12504
27	357	12398
28	367	12295
29	378	12222
30	388	12133
31	399	12071
32	409	12007
33	421	11982
34	434	11983
35	447	11975
36	460	11986
37	476	12059
38	493	12161
39	505	12129
40	517	12115
41	530	12102
42	541	12045
43	552	12007
44	563	11963
45	574	11913
46	586	11882
47	598	11862
48	608	11801
49	617	11741
50	628	11686
51	639	11651
52	649	11608
53	659	11562
54	670	11518
55	680	11470
56	690	11424
57	700	11379
58	710	11335
59	721	11300
60	731	11262
61	741	11220
62	751	11183
63	761	11143
64	772	11107
65	785	11113
66	796	11095
67	807	11066
68	818	11039
69	828	11010
70	838	10976
71	849	10945
72	859	10910
73	869	10881
74	879	10849
75	890	10821
76	900	10796
77	910	10764
78	922	10751
79	934	10744
80	946	10741
81	960	10757
82	971	10730
83	991	10816
84	1002	10795
85	1013	10767
86	1024	10748
87	1034	10720
88	1045	10701
89	1055	10674
90	1066	10649
91	1076	10625
92	1087	10604
93	1098	10585
94	1108	10561
95	1119	10537
96	1129	10516
97	1139	10489
98	1150	10466
99	1162	10462
100	1173	10442
101	1183	10417
102	1195	10413
103	1207	10402
104	1219	10396
105	1229	10372
106	1239	10346
107	1249	10322
108	1260	10304
109	1270	10282
110	1281	10259
111	1291	10238
112	1301	10218
113	1311	10196
114	1323	10184
115	1336	10184
116	1349	10185
117	1363	10189
118	1376	10189
119	1389	10187
120	1402	10189
121	1415	10187
122	1428	10188
123	1443	10194
124	1460	10226
125	1479	10261
126	1493	10263
127	1506	10260
128	1519	10258
129	1532	10255
130	1546	10256
131	1559	10255
132	1572	10252
133	1585	10249
134	1599	10245
135	1612	10241
136	1625	10241
137	1640	10245
138	1654	10250
139	1668	10249
140	1681	10245
141	1694	10238
142	1708	10236
143	1721	10233
144	1735	10231
145	1748	10226
146	1764	10239
147	1781	10255
148	1797	10268
149	1814	10283
150	1831	10294
151	1847	10309
152	1864	10322
153	1881	10336
154	1898	10349
155	1915	10362
156	1933	10379
157	1973	10516
158	1991	10536
159	2008	10543
160	2024	10550
161	2041	10558
162	2057	10564
163	2073	10571
164	2090	10578
165	2107	10589
166	2124	10595
167	2141	10604
168	2158	10614
169	2175	10619
170	2191	10623
171	2208	10630
172	2224	10635
173	2242	10645
174	2259	10649
175	2275	10653
176	2292	10659
177	2309	10664
178	2326	10669
179	2342	10673
180	2359	10677
181	2375	10677
182	2391	10676
183	2407	10678
184	2426	10691
185	2458	10757
186	2475	10764
187	2491	10763
188	2508	10763
189	2524	10763
190	2540	10761
191	2557	10763
192	2574	10763
193	2590	10761
194	2606	10762
195	2623	10761
196	2640	10762
197	2656	10760
198	2672	10758
199	2685	10741
200	2697	10720
201	2707	10697
202	2718	10674
203	2730	10653
204	2741	10631
205	2752	10608
206	2763	10587
207	2774	10566
208	2785	10542
209	2796	10520
210	2807	10499
211	2818	10478
212	2830	10458
213	2842	10438
214	2852	10416
215	2863	10394
216	2874	10372
217	2885	10350
218	2896	10328
219	2907	10307
220	2918	10286
221	2929	10267
222	2948	10273
223	2961	10258
224	2972	10239
225	2984	10219
226	2995	10199
227	3006	10180
228	3017	10159
229	3028	10139
230	3040	10121
231	3051	10101
232	3062	10081
233	3074	10063
234	3086	10046
235	3100	10038
236	3117	10034
237	3134	10035
238	3151	10034
239	3167	10030
240	3184	10030
241	3201	10026
242	3216	10019
243	3230	10010
244	3245	10001
245	3261	9995
246	3275	9985
247	3290	9976
248	3306	9973
249	3321	9963
250	3336	9955
251	3350	9946
252	3365	9936
253	3380	9928
254	3395	9920
255	3412	9916
256	3430	9919
257	3445	9910
258	3460	9900
259	3475	9891
260	3489	9880
261	3504	9871
262	3519	9861
263	3533	9852
264	3548	9841
265	3563	9832
266	3580	9829
267	3595	9821
268	3611	9814
269	3626	9805
270	3642	9799
271	3657	9788
272	3671	9777
273	3686	9767
274	3701	9758
275	3716	9748
276	3730	9736
277	3745	9726
278	3759	9715
279	3773	9704
280	3788	9694
281	3803	9684
282	3817	9673
283	3833	9663
284	3849	9657
285	3864	9648
286	3880	9640
287	3896	9633
288	3914	9630
289	3936	9637
290	3957	9642
291	3976	9641
292	3990	9629
293	4006	9621
294	4022	9612
295	4033	9593
296	4044	9572
297	4054	9551
298	4064	9530
299	4075	9509
300	4086	9489
301	4096	9468
302	4108	9450
303	4118	9430
304	4129	9408
305	4140	9391
306	4151	9371
307	4161	9350
308	4184	9358
309	4202	9353
310	4218	9345
311	4237	9344
312	4253	9336
313	4266	9320
314	4279	9306
315	4291	9289
316	4304	9273
317	4318	9261
318	4333	9251
319	4353	9250
320	4371	9247
321	4385	9233
322	4411	9246
323	4423	9229
324	4432	9206
325	4443	9185
326	4453	9165
327	4464	9145
328	4474	9125
329	4484	9104
330	4495	9085
331	4505	9065
332	4515	9044
333	4525	9024
334	4536	9004
335	4546	8984
336	4556	8964
337	4567	8944
338	4577	8925
339	4587	8905
340	4597	8885
341	4608	8865
342	4618	8846
343	4628	8826
344	4639	8808
345	4649	8788
346	4660	8769
347	4670	8749
348	4680	8730
349	4690	8711
350	4701	8692
351	4711	8673
352	4722	8655
353	4732	8636
354	4745	8621
355	4756	8604
356	4767	8586
357	4777	8567
358	4788	8549
359	4798	8530
360	4808	8511
361	4820	8494
362	4830	8476
363	4840	8457
364	4850	8438
365	4860	8419
366	4871	8402
367	4881	8383
368	4893	8368
369	4909	8360
370	4925	8350
371	4943	8345
372	4956	8331
373	4970	8319
374	4981	8302
375	4992	8284
376	5002	8267
377	5013	8249
378	5023	8231
379	5034	8213
380	5044	8195
381	5054	8177
382	5065	8160
383	5075	8142
384	5085	8124
385	5097	8108
386	5107	8090
387	5117	8072
388	5127	8054
389	5137	8036
390	5148	8018
391	5159	8002
392	5169	7984
393	5180	7967
394	5190	7950
395	5201	7933
396	5211	7915
397	5222	7898
398	5232	7881
399	5243	7864
400	5253	7847
401	5264	7831
402	5274	7813
403	5284	7796
404	5295	7779
405	5305	7761
406	5315	7745
407	5325	7727
408	5336	7710
409	5346	7693
410	5356	7676
411	5366	7659
412	5387	7656
413	5398	7641
414	5409	7625
415	5419	7608
416	5430	7591
417	5440	7574
418	5450	7558
419	5464	7545
420	5477	7533
421	5490	7519
422	5503	7506
423	5516	7493
424	5529	7481
425	5543	7469
426	5557	7458
427	5571	7446
428	5584	7433
429	5597	7420
430	5611	7407
431	5624	7395
432	5638	7383
433	5651	7370
434	5664	7357
435	5678	7345
436	5692	7333
437	5705	7321
438	5719	7308
439	5732	7295
440	5748	7286
441	5765	7278
442	5781	7269
443	5796	7258
444	5811	7247
445	5827	7238
446	5842	7228
447	5857	7217
448	5876	7210
449	5911	7225
450	5930	7218
451	5944	7206
452	5960	7197
453	5975	7186
454	5991	7176
455	6006	7165
456	6021	7154
457	6035	7142
458	6050	7131
459	6065	7119
460	6080	7108
461	6095	7098
462	6110	7086
463	6126	7076
464	6140	7064
465	6157	7056
466	6172	7044
467	6187	7033
468	6202	7022
469	6216	7010
470	6231	6998
471	6245	6986
472	6260	6975
473	6275	6963
474	6291	6953
475	6317	6954
476	6347	6959
477	6377	6965
478	6399	6960
479	6419	6954
480	6434	6942
481	6449	6931
482	6465	6920
483	6480	6908
484	6495	6897
485	6510	6885
486	6524	6872
487	6539	6861
488	6553	6848
489	6568	6836
490	6582	6824
491	6598	6813
492	6615	6802
493	6630	6791
494	6645	6779
495	6660	6768
496	6675	6756
497	6690	6744
498	6705	6732
499	6720	6720
500	6736	6709
501	6751	6697
502	6765	6684
503	6779	6672
504	6795	6660
505	6809	6648
506	6826	6638
507	6838	6622
508	6848	6606
509	6858	6589
510	6869	6573
511	6880	6558
512	6890	6541
513	6901	6525
514	6911	6508
515	6922	6492
516	6932	6476
517	6942	6460
518	6953	6444
519	6963	6428
520	6977	6415
521	6993	6404
522	7009	6393
523	7025	6382
524	7043	6372
525	7057	6359
526	7073	6348
527	7089	6337
528	7103	6324
529	7118	6312
530	7133	6300
531	7147	6287
532	7162	6275
533	7177	6263
534	7192	6251
535	7206	6238
536	7221	6225
537	7236	6213
538	7250	6201
539	7267	6190
540	7283	6179
541	7297	6166
542	7313	6155
543	7328	6143
544	7348	6134
545	7368	6126
546	7382	6114
547	7397	6101
548	7412	6089
549	7427	6076
550	7442	6064
551	7456	6052
552	7471	6039
553	7486	6027
554	7500	6014
555	7515	6001
556	7529	5988
557	7544	5976
558	7560	5964
559	7575	5952
560	7590	5939
561	7606	5927
562	7621	5916
563	7636	5903
564	7651	5890
565	7666	5878
566	7680	5865
567	7694	5852
568	7709	5839
569	7725	5827
570	7741	5816
571	7756	5803
572	7771	5791
573	7786	5779
574	7802	5766
575	7816	5753
576	7830	5740
577	7849	5730
578	7872	5724
579	7887	5711
580	7901	5698
581	7916	5685
582	7932	5673
583	7945	5659
584	7955	5643
585	7965	5627
586	7975	5611
587	7985	5595
588	7996	5579
589	8006	5563
590	8016	5547
591	8026	5531
592	8036	5516
593	8048	5501
594	8059	5485
595	8069	5469
596	8081	5455
597	8091	5439
598	8102	5423
599	8112	5408
600	8126	5394
601	8142	5383
602	8152	5367
603	8163	5352
604	8173	5336
605	8184	5321
606	8194	5305
607	8207	5291
608	8220	5278
609	8236	5266
610	8248	5251
611	8259	5236
612	8269	5220
613	8280	5205
614	8291	5190
615	8301	5174
616	8312	5159
617	8327	5147
618	8343	5135
619	8354	5120
620	8366	5105
621	8376	5090
622	8386	5075
623	8397	5059
624	8407	5044
625	8417	5029
626	8427	5013
627	8444	5002
628	8460	4990
629	8479	4979
630	8501	4971
631	8527	4965
632	8549	4956
633	8575	4950
634	8602	4944
635	8620	4933
636	8637	4922
637	8654	4910
638	8669	4897
639	8684	4885
640	8700	4872
641	8715	4859
642	8729	4846
643	8744	4833
644	8759	4820
645	8773	4807
646	8787	4794
647	8802	4781
648	8819	4769
649	8840	4760
650	8855	4747
651	8869	4734
652	8885	4721
653	8900	4708
654	8914	4695
655	8929	4682
656	8943	4669
657	8957	4655
658	8972	4642
659	8987	4629
660	9001	4616
661	9016	4603
662	9031	4590
663	9048	4578
664	9063	4565
665	9079	4553
666	9094	4540
667	9109	4527
668	9124	4514
669	9138	4501
670	9153	4488
671	9168	4474
672	9182	4461
673	9196	4448
674	9212	4435
675	9227	4422
676	9243	4409
677	9257	4396
678	9273	4384
679	9288	4371
680	9306	4359
681	9325	4348
682	9342	4335
683	9357	4322
684	9372	4310
685	9388	4297
686	9402	4283
687	9418	4271
688	9433	4257
689	9447	4244
690	9462	4231
691	9476	4217
692	9492	4205
693	9511	4193
694	9532	4183
695	9555	4173
696	9578	4164
697	9596	4152
698	9612	4139
699	9626	4125
700	9641	4112
701	9656	4099
702	9672	4086
703	9687	4073
704	9703	4060
705	9718	4047
706	9733	4033
707	9748	4020
708	9763	4007
709	9778	3994
710	9793	3980
711	9815	3970
712	9835	3959
713	9859	3949
714	9876	3936
715	9894	3924
716	9912	3912
717	9930	3900
718	9950	3889
719	9972	3878
720	9993	3867
721	10008	3853
722	10023	3840
723	10039	3827
724	10054	3813
725	10069	3800
726	10083	3786
727	10098	3773
728	10114	3759
729	10130	3746
730	10145	3733
731	10160	3720
732	10176	3706
733	10191	3693
734	10206	3679
735	10220	3665
736	10235	3652
737	10249	3638
738	10264	3625
739	10292	3616
740	10326	3609
741	10341	3595
742	10356	3582
743	10372	3569
744	10387	3555
745	10402	3541
746	10417	3528
747	10433	3515
748	10448	3501
749	10462	3487
750	10477	3473
751	10493	3460
752	10508	3447
753	10523	3433
754	10538	3419
755	10553	3406
756	10568	3392
757	10584	3379
758	10598	3365
759	10613	3351
760	10627	3337
761	10643	3324
762	10657	3310
763	10672	3296
764	10688	3283
765	10703	3269
766	10719	3256
767	10734	3242
768	10749	3228
769	10764	3215
770	10778	3201
771	10799	3189
772	10821	3177
773	10836	3164
774	10851	3150
775	10867	3136
776	10881	3123
777	10896	3109
778	10911	3095
779	10925	3081
780	10940	3067
781	10955	3054
